og	sample_id
OG10306	Bd_2023_1
OG10306	Bd_2023_2
OG10307	ReuPie1
OG10307	Bd_2023_1
OG10307	Bd_2023_3
OG10308	ReuPie1
OG10308	Bd_2023_3
OG10309	Bd_2023_1
OG10309	Bd_2023_3
OG1031	Bd_2023_1
OG10310	Bd_2023_1
OG10311	ReuPie1
OG10311	ReuPie4
OG10311	Bd_2023_1
OG10312	Bd_2023_1
OG10312	Bd_2023_3
OG10313	NGNS02
OG10313	ReuPie4
OG10313	Bd_2023_1
OG10314	ReuPie1
OG10314	Bd_2023_2
OG10315	ReuPie1
OG10315	ReuPie4
OG10315	Bd_2023_3
OG10316	Bd_2023_1
OG10317	NGNS02
OG10317	ReuPie4
OG10317	Bd_2023_1
OG10317	Bd_2023_3
OG10318	ReuPie1
OG10318	ReuPie4
OG10318	Bd_2023_1
OG10318	Bd_2023_3
OG10319	ReuPie1
OG10319	Bd_2023_2
OG1032	ReuPie4
OG1032	Bd_2023_1
OG1032	Bd_2023_2
OG10321	ReuPie4
OG10321	Bd_2023_1
OG10321	Bd_2023_3
OG10322	ReuPie4
OG10322	Bd_2023_1
OG10322	Bd_2023_2
OG10323	ReuPie1
OG10323	Bd_2023_1
OG10323	Bd_2023_2
OG10324	NGNS02
OG10324	Bd_2023_1
OG10324	Bd_2023_2
OG10325	ReuPie1
OG10325	ReuPie4
OG10325	Bd_2023_2
OG10326	ReuPie4
OG10326	Bd_2023_1
OG10328	ReuPie1
OG10328	Bd_2023_1
OG10329	ReuPie1
OG10329	ReuPie4
OG10329	Bd_2023_1
OG1033	ReuPie4
OG1033	Bd_2023_1
OG10330	YNJH02
OG10330	ReuPie1
OG10331	ReuPie4
OG10331	Bd_2023_3
OG10332	ReuPie1
OG10332	Bd_2023_1
OG10332	Bd_2023_2
OG10332	Bd_2023_3
